pt,country_group,n_sims,median_risk_observed,lower_95_observed,upper_95_observed,median_risk_corrected,lower_95_corrected,upper_95_corrected,n_exposed
Involuntary defecation,Australia,1000,0.03575237384570745,0.023198198428293862,0.053683832487828764,0.20962419114781938,0.06862885886842618,0.5026181922779217,103765624
Elevated symmetrical dimethylarginine (SDMA),Australia,1000,0.03376613085427926,0.021909409626721978,0.05070139734961605,0.19797840275071832,0.06481614448684694,0.4746949593735927,103765624
Cognitive disorder NOS,Australia,1000,0.03277300935856516,0.02126501522593604,0.04921017978050969,0.19215550855216776,0.06290978729605733,0.46073334292142826,103765624
Myopathy,Australia,1000,0.03277300935856516,0.02126501522593604,0.04921017978050969,0.19215550855216776,0.06290978729605733,0.46073334292142826,103765624
Abnormal posture NOS,Australia,1000,0.03177988786285107,0.020620620825150097,0.04771896221140334,0.18633261435361725,0.06100343010526771,0.44677172646926366,103765624
Tachycardia,Australia,1000,0.03177988786285107,0.020620620825150097,0.04771896221140334,0.18633261435361725,0.06100343010526771,0.44677172646926366,103765624
Loss of consciousness,Australia,1000,0.029793644871422872,0.019331832023578216,0.04473652707319063,0.17468682595651613,0.05719071572368847,0.41884849356493475,103765624
Lymphopenia,Australia,1000,0.029793644871422872,0.019331832023578216,0.04473652707319063,0.17468682595651613,0.05719071572368847,0.41884849356493475,103765624
Nystagmus,Australia,1000,0.029793644871422872,0.019331832023578216,0.04473652707319063,0.17468682595651613,0.05719071572368847,0.41884849356493475,103765624
Oedema NOS,Australia,1000,0.029793644871422872,0.019331832023578216,0.04473652707319063,0.17468682595651613,0.05719071572368847,0.41884849356493475,103765624
Thrombocytopenia,Australia,1000,0.029793644871422872,0.019331832023578216,0.04473652707319063,0.17468682595651613,0.05719071572368847,0.41884849356493475,103765624
Bacterial skin infection,Australia,1000,0.028800523375708778,0.018687437622792277,0.04324530950408428,0.16886393175796563,0.05528435853289887,0.40488687711277027,103765624
Central nervous system disorder NOS,Australia,1000,0.028800523375708778,0.018687437622792277,0.04324530950408428,0.16886393175796563,0.05528435853289887,0.40488687711277027,103765624
Internal ear disorder,Australia,1000,0.028800523375708778,0.018687437622792277,0.04324530950408428,0.16886393175796563,0.05528435853289887,0.40488687711277027,103765624
Other abnormal test result NOS,Australia,1000,0.028800523375708778,0.018687437622792277,0.04324530950408428,0.16886393175796563,0.05528435853289887,0.40488687711277027,103765624
Bone and joint disorder NOS,Australia,1000,0.02681428038428059,0.017398648821220393,0.040262874365871566,0.15721814336086454,0.05147164415131963,0.37696364420844125,103765624
Joint pain NOS,Australia,1000,0.02681428038428059,0.017398648821220393,0.040262874365871566,0.15721814336086454,0.05147164415131963,0.37696364420844125,103765624
Alopecia,Australia,1000,0.02582115888856649,0.01675425442043445,0.03877165679676521,0.151395249162314,0.04956528696053001,0.36300202775627677,103765624
Pale mucous membrane,Australia,1000,0.02582115888856649,0.01675425442043445,0.03877165679676521,0.151395249162314,0.04956528696053001,0.36300202775627677,103765624
Reluctant to move,Australia,1000,0.02582115888856649,0.01675425442043445,0.03877165679676521,0.151395249162314,0.04956528696053001,0.36300202775627677,103765624
Neutrophilia,Australia,1000,0.024828037392852394,0.016109860019648512,0.03728043922765886,0.14557235496376347,0.047658929769740406,0.34904041130411223,103765624
Skin disorders NOS,Australia,1000,0.024828037392852394,0.016109860019648512,0.03728043922765886,0.14557235496376347,0.047658929769740406,0.34904041130411223,103765624
Abnormal reflex test,Australia,1000,0.0238349158971383,0.015465465618862572,0.03578922165855251,0.13974946076521294,0.04575257257895079,0.33507879485194786,103765624
Dermal mass,Australia,1000,0.0238349158971383,0.015465465618862572,0.03578922165855251,0.13974946076521294,0.04575257257895079,0.33507879485194786,103765624
Lymphadenopathy,Australia,1000,0.022841794401424205,0.014821071218076631,0.03429800408944615,0.13392656656666238,0.043846215388161164,0.32111717839978327,103765624
Renal insufficiency,Australia,1000,0.022841794401424205,0.014821071218076631,0.03429800408944615,0.13392656656666238,0.043846215388161164,0.32111717839978327,103765624
Retching,Australia,1000,0.022841794401424205,0.014821071218076631,0.03429800408944615,0.13392656656666238,0.043846215388161164,0.32111717839978327,103765624
Skin lesion NOS,Australia,1000,0.022841794401424205,0.014821071218076631,0.03429800408944615,0.13392656656666238,0.043846215388161164,0.32111717839978327,103765624
Paralysis,Australia,1000,0.02184867290571011,0.014176676817290691,0.032806786520339797,0.12810367236811185,0.04193985819737155,0.30715556194761884,103765624
Abnormal cytology,Australia,1000,0.020855551409996013,0.013532282416504749,0.03131556895123344,0.12228077816956132,0.04003350100658194,0.2931939454954543,103765624
Dehydration,Australia,1000,0.020855551409996013,0.013532282416504749,0.03131556895123344,0.12228077816956132,0.04003350100658194,0.2931939454954543,103765624
Elevated globulins,Australia,1000,0.020855551409996013,0.013532282416504749,0.03131556895123344,0.12228077816956132,0.04003350100658194,0.2931939454954543,103765624
Erythema,Australia,1000,0.020855551409996013,0.013532282416504749,0.03131556895123344,0.12228077816956132,0.04003350100658194,0.2931939454954543,103765624
Haemorrhagic diarrhoea,Australia,1000,0.020855551409996013,0.013532282416504749,0.03131556895123344,0.12228077816956132,0.04003350100658194,0.2931939454954543,103765624
Rale,Australia,1000,0.020855551409996013,0.013532282416504749,0.03131556895123344,0.12228077816956132,0.04003350100658194,0.2931939454954543,103765624
Sleep disturbance NOS,Australia,1000,0.020855551409996013,0.013532282416504749,0.03131556895123344,0.12228077816956132,0.04003350100658194,0.2931939454954543,103765624
Deafness,Australia,1000,0.019862429914281915,0.01288788801571881,0.02982435138212709,0.11645788397101076,0.038127143815792325,0.27923232904328976,103765624
Elevated serum lipids,Australia,1000,0.019862429914281915,0.01288788801571881,0.02982435138212709,0.11645788397101076,0.038127143815792325,0.27923232904328976,103765624
Increased appetite,Australia,1000,0.019862429914281915,0.01288788801571881,0.02982435138212709,0.11645788397101076,0.038127143815792325,0.27923232904328976,103765624
Nausea,Australia,1000,0.019862429914281915,0.01288788801571881,0.02982435138212709,0.11645788397101076,0.038127143815792325,0.27923232904328976,103765624
Muscle stiffness,Australia,1000,0.017876186922853726,0.011599099214146931,0.026841916243914382,0.10481209557390969,0.03431442943421309,0.25130909613896085,103765624
Elevated C-reactive protein,Australia,1000,0.01688306542713963,0.010954704813360989,0.025350698674808023,0.09898920137535916,0.03240807224342347,0.23734747968679634,103765624
Hyperglycaemia,Australia,1000,0.01688306542713963,0.010954704813360989,0.025350698674808023,0.09898920137535916,0.03240807224342347,0.23734747968679634,103765624
Systemic disorder NOS,Australia,1000,0.01688306542713963,0.010954704813360989,0.025350698674808023,0.09898920137535916,0.03240807224342347,0.23734747968679634,103765624
Murmur,Australia,1000,0.015889943931425534,0.010310310412575048,0.02385948110570167,0.09316630717680863,0.030501715052633854,0.22338586323463183,103765624
Elevated aspartate aminotransferase (AST),Australia,1000,0.014896822435711436,0.009665916011789108,0.022368263536595316,0.08734341297825807,0.028595357861844237,0.20942424678246738,103765624
Ligament rupture,Australia,1000,0.014896822435711436,0.009665916011789108,0.022368263536595316,0.08734341297825807,0.028595357861844237,0.20942424678246738,103765624
Localised pain NOS,Australia,1000,0.014896822435711436,0.009665916011789108,0.022368263536595316,0.08734341297825807,0.028595357861844237,0.20942424678246738,103765624
Respiratory tract disorder NOS,Australia,1000,0.014896822435711436,0.009665916011789108,0.022368263536595316,0.08734341297825807,0.028595357861844237,0.20942424678246738,103765624
Cranial nerve disorder,Australia,1000,0.013903700939997342,0.009021521611003168,0.02087704596748896,0.08152051877970753,0.026689000671054626,0.1954626303303029,103765624
